#    time(ps)        R(t,x=0)       J(t,x=L)
   0.291000E+02   0.526323E+04   0.261671E+02
   0.292000E+02   0.526528E+04   0.264932E+02
   0.293000E+02   0.526732E+04   0.268212E+02
   0.294000E+02   0.526935E+04   0.271512E+02
   0.295000E+02   0.527137E+04   0.274832E+02
   0.296000E+02   0.527338E+04   0.278170E+02
   0.297000E+02   0.527539E+04   0.281529E+02
   0.298000E+02   0.527738E+04   0.284906E+02
   0.299000E+02   0.527936E+04   0.288302E+02
   0.300000E+02   0.528133E+04   0.291718E+02
   0.301000E+02   0.528329E+04   0.295152E+02
   0.302000E+02   0.528525E+04   0.298606E+02
   0.303000E+02   0.528719E+04   0.302078E+02
   0.304000E+02   0.528912E+04   0.305569E+02
   0.305000E+02   0.529105E+04   0.309078E+02
   0.306000E+02   0.529296E+04   0.312606E+02
   0.307000E+02   0.529487E+04   0.316153E+02
   0.308000E+02   0.529677E+04   0.319717E+02
   0.309000E+02   0.529866E+04   0.323300E+02
   0.310000E+02   0.530054E+04   0.326901E+02
   0.311000E+02   0.530241E+04   0.330520E+02
   0.312000E+02   0.530427E+04   0.334157E+02
   0.313000E+02   0.530612E+04   0.337811E+02
   0.314000E+02   0.530797E+04   0.341484E+02
   0.315000E+02   0.530980E+04   0.345174E+02
   0.316000E+02   0.531163E+04   0.348881E+02
   0.317000E+02   0.531345E+04   0.352606E+02
   0.318000E+02   0.531526E+04   0.356348E+02
   0.319000E+02   0.531706E+04   0.360108E+02
   0.320000E+02   0.531885E+04   0.363884E+02
   0.321000E+02   0.532064E+04   0.367677E+02
   0.322000E+02   0.532242E+04   0.371488E+02
   0.323000E+02   0.532419E+04   0.375315E+02
   0.324000E+02   0.532595E+04   0.379159E+02
   0.325000E+02   0.532770E+04   0.383019E+02
   0.326000E+02   0.532945E+04   0.386896E+02
   0.327000E+02   0.533118E+04   0.390789E+02
   0.328000E+02   0.533291E+04   0.394699E+02
   0.329000E+02   0.533463E+04   0.398624E+02
   0.330000E+02   0.533635E+04   0.402566E+02
   0.331000E+02   0.533806E+04   0.406523E+02
   0.332000E+02   0.533975E+04   0.410497E+02
   0.333000E+02   0.534145E+04   0.414486E+02
   0.334000E+02   0.534313E+04   0.418491E+02
   0.335000E+02   0.534481E+04   0.422511E+02
   0.336000E+02   0.534648E+04   0.426546E+02
   0.337000E+02   0.534814E+04   0.430597E+02
   0.338000E+02   0.534979E+04   0.434663E+02
   0.339000E+02   0.535144E+04   0.438744E+02
   0.340000E+02   0.535308E+04   0.442841E+02
   0.341000E+02   0.535472E+04   0.446951E+02
   0.342000E+02   0.535634E+04   0.451077E+02
   0.343000E+02   0.535796E+04   0.455217E+02
   0.344000E+02   0.535957E+04   0.459372E+02
   0.345000E+02   0.536118E+04   0.463541E+02
   0.346000E+02   0.536278E+04   0.467725E+02
   0.347000E+02   0.536437E+04   0.471923E+02
   0.348000E+02   0.536596E+04   0.476134E+02
   0.349000E+02   0.536754E+04   0.480360E+02
   0.350000E+02   0.536911E+04   0.484600E+02
   0.351000E+02   0.537067E+04   0.488853E+02
   0.352000E+02   0.537223E+04   0.493120E+02
   0.353000E+02   0.537379E+04   0.497401E+02
   0.354000E+02   0.537533E+04   0.501695E+02
   0.355000E+02   0.537687E+04   0.506002E+02
   0.356000E+02   0.537840E+04   0.510322E+02
   0.357000E+02   0.537993E+04   0.514656E+02
   0.358000E+02   0.538145E+04   0.519002E+02
   0.359000E+02   0.538297E+04   0.523362E+02
   0.360000E+02   0.538447E+04   0.527734E+02
   0.361000E+02   0.538598E+04   0.532119E+02
   0.362000E+02   0.538747E+04   0.536516E+02
   0.363000E+02   0.538896E+04   0.540926E+02
   0.364000E+02   0.539045E+04   0.545348E+02
